AmbSYS - Ambulance Systems Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year:<All>,Period Name:<All>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Period Name,Parent org code,Parent name,Org Code,Org Name,HQU03_1_1_3 SUM,HQU03_1_1_4 SUM,HQU03_1_1_5 SUM,HQU03_1_1_6 SUM,HQU03_1_1_7 SUM,HQU03_1_2_1 SUM,HQU03_1_2_2 SUM,SQU03_1_1_1 SUM,SQU03_1_1_2 SUM,SQU03_2_1_1 SUM,SQU03_2_1_2 SUM,SQU03_2_2_1 SUM,SQU03_2_2_2 SUM,SQU03_2_3_1 SUM,SQU03_2_3_2 SUM,SQU03_8_1_1_50 SUM,SQU03_8_1_1_95 SUM,SQU03_8_1_1_99 SUM,SQU03_9_1_1_50 SUM,SQU03_9_1_1_95 SUM,SQU03_9_1_1_99 SUM,SQU03_10_1_1 SUM,SQU03_10_1_2 SUM,SQU03_10_2_1 SUM,SQU03_10_2_2 SUM,Asi Srs17 1 1 1 SUM
2011-12,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,18296,18681,487,46141,278,2262,802,14123,0,46141,3,16,53,5.53,16,24.32,2262,45628,16083,43366,32691
2011-12,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,8180,8543,0,0,247,1710,676,11307,0,0,3,33,92,5.98,17.53,28.15,1710,30886,11501,29169,17843
2011-12,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,11926,12513,2527,41519,193,1491,653,10244,0,41519,2,46,134,5.3,18.3,28.3,1491,27971,11842,25003,21565
2011-12,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT,NULL,NULL,NULL,NULL,NULL,621,630,34,1962,6,143,13,491,9,1962,1,4,13,5.5,16.3,19.4,143,1739,675,1594,1105
2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,34351,34820,282,137032,367,5681,1057,21221,3922,137032,0,29,98,5.6,13,21.3,5681,98111,29233,94430,70747
2011-12,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,9233,9628,364,32919,178,2013,215,8155,14,32919,1,9,81,5.47,14.35,21.62,2013,19085,8556,17495,14770
2011-12,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,13145,13437,276,41677,167,1065,375,6619,0,41677,1,1,33,5.733333333,15.2,23.54666667,1065,28437,9653,28268,26623
2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,30220,32028,1320,102771,854,2438,872,14363,0,102771,1,5,14,5,15.4,31.8,2438,75755,15793,74099,67277
2011-12,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,22080,22568,1124,67730,497,2409,899,10186,883,67730,1,18,93,5.07,12.85,18.64,2409,51169,11522,48635,42440
2011-12,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,17989,19353,648,66556,146,3653,968,14810,314,66556,2,32,82,5.766666667,19.76666667,34.98333333,3653,51798,19038,48043,33233
2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,28594,29238,662,72809,574,4198,1024,20190,0,72809,1,7,47,5.76,14.38,22.01,4198,64226,20572,60028,46328
2011-12,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,18657,19569,527,78658,453,3831,1085,22601,0,78658,1,12,58,4.65,16.83,25.58,3831,58799,25682,54952,38294
2011-12,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,23021,23581,1284,49720,231,2554,881,16385,0,49720,3,12,38,5.47,16.57,25.43,2554,50753,18829,48199,35816
2011-12,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,8998,9450,862,38366,261,1812,943,13515,2183,38366,3,55,119,6.83,18.17,31.2,1812,33871,13825,32059,19002
2011-12,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,12462,13046,1118,43692,369,2238,739,11330,0,43692,2,37,85,5.4,18.9,29.2,2238,30703,12754,26442,22257
2011-12,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT,NULL,NULL,NULL,NULL,NULL,531,545,23,2108,26,222,6,475,17,2108,6,10,13,4,6,6,222,1747,498,1525,NULL
2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,30050,30223,110,120566,191,5873,1014,19421,3982,120566,0,14,69,5.7,12,17.6,5873,94238,23257,88365,0
2011-12,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,7895,8184,290,28029,69,957,157,6147,21,28029,1,6,85,5.4,13.7,19.9,957,18115,7916,17158,NULL
2011-12,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,11758,11872,228,38718,128,841,302,5956,0,38718,1,1,19,5.083333333,12.9,20.25,841,25842,8535,25694,NULL
2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,27743,28880,768,100594,913,2231,749,12681,0,100594,1,1,12,4.98,15.55,29.91,2231,71352,11824,68382,NULL
2011-12,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,20095,20379,591,60509,445,1871,770,8896,787,60509,1,29,48,5.23,12.07,17.4,1871,46665,10189,44794,NULL
2011-12,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,17078,18094,550,58860,153,2525,926,13956,38,58860,2,21,64,5.8,18.05,29.46666667,2525,46864,17935,44246,NULL
2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,21488,21925,136,67165,996,3277,762,18018,0,67165,1,1,6,5.53,13.55,20.75,3277,59228,18392,55951,NULL
2011-12,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,18252,19083,517,57838,0,1870,605,20890,0,57838,3,26,81,4.63,15.75,23.37,1870,54413,25758,52543,NULL
2011-12,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,18050,18373,379,46275,21,1699,136,14323,0,46275,3,14,45,5.62,15.83,23.88,1699,44333,16212,44333,NULL
2011-12,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,8400,8697,0,0,211,1663,588,11202,0,0,3,14,71,5.9,16.95,26.63,1663,30844,11384,29210,NULL
2011-12,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,12434,12888,2563,41760,245,1489,630,10173,0,41760,2,44,132,5.1,17.1,26.7,1489,28012,11784,25198,NULL
2011-12,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT,NULL,NULL,NULL,NULL,NULL,540,553,34,1811,8,90,0,409,9,1811,1,1,7,6.1,17.2,23.5,90,1548,604,1457,1051
2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,30332,30756,65,118240,402,6137,951,18465,3519,118240,0,1,28,5.5,12.6,21.4,6137,91351,27990,85214,66103
2011-12,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,8155,8470,268,29090,116,1525,177,6941,18,29090,1,7,61,5.47,14.3,20.9,1525,17286,7472,16192,14230
2011-12,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,12061,12245,151,37750,108,770,295,5935,0,37750,1,1,9,5.18333333,13.55,21.108667,770,25615,8395,25750,24707
2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,27133,28347,1829,99671,804,2313,803,12434,0,99671,1,4,13,4.87,13.82,25.12,2313,69883,13174,68292,63984
2011-12,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,20184,20577,741,60592,155,2052,750,8838,778,60592,1,5,85,5.15,12.39,17.47,2052,46504,10105,44340,39476
2011-12,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,16136,17461,556,59770,97,3283,785,13117,37,59770,2,24,70,5.933333333,20.36666667,36.25,3283,46337,16872,43016,29899
2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,29117,29682,397,69583,468,3466,800,17708,0,69583,1,1,36,5.51,14,21.2,3466,58314,18008,54849,43281
2011-12,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,17642,18597,773,69931,159,2418,884,20498,0,69931,3,18,50,4.75,16.9,27.52,2418,54122,23765,51693,36498
2011-12,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,19344,19628,211,45602,246,2119,751,14537,0,45602,3,17,51,5.17,14.58,21.97,2119,46033,16507,43914,33086
2011-12,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,8639,9055,334,30558,311,1611,768,11842,1674,30558,3,36,114,6.08,17.93,28.8,1611,31137,11895,29526,18075
2011-12,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,11139,11563,889,38736,229,1728,570,10227,0,38736,2,36,85,5.1,17.4,27.2,1728,27137,11590,23921,20531
2011-12,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT,NULL,NULL,NULL,NULL,NULL,602,615,22,2139,5,142,8,498,12,2139,3,6,8,6.28,17.35,23.05,142,1763,605,1621,1123
2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,32100,32352,84,126328,400,6431,963,18926,3645,126328,0,2,50,5.6,12.3,18.8,6431,94527,26619,88096,68460
2011-12,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,8460,8777,214,30874,96,1297,170,7320,6,30874,1,4,47,5.48,14.6,21.9,1297,18337,7935,17468,15179
2011-12,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,12336,12545,235,39795,140,924,281,6240,0,39795,1,1,24,5.46666667,14.416667,21.423333,924,27129,8778,27205,25893
2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,28581,30017,1162,106962,876,2485,873,13924,0,106962,1,4,11,4.87,14.05,28.05,2485,74479,14033,72855,66382
2011-12,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,20957,21462,1085,65189,303,1765,791,9697,903,65189,1,20,93,5.34,13.19,19.23,1765,49372,10996,47551,41680
2011-12,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,16751,18408,1218,63996,110,3757,822,14117,41,63996,2,43,86,6.116666667,21.38333333,39.1,3757,49385,18105,45519,31403
2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,31189,31818,1000,68888,534,3853,867,18387,0,68888,1,12,55,5.58,14.05,21.7,3853,61039,18771,57186,45362
2011-12,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,17953,18911,877,74668,229,2309,1110,21502,0,74668,3,17,52,4.52,15.68,24.47,2309,56250,24756,53946,38062
2011-12,OCTOBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,19867,20245,474,48183,240,2152,824,15256,0,48183,3,26,69,5.38,15.48,24.07,2152,48225,17407,46073,34587
2011-12,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,8609,9060,329,31747,216,1619,781,12310,1410,31747,3,29,100,6.05,18.53,30.25,1619,32627,12317,31008,19189
2011-12,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,11703,12214,1052,41304,259,1873,562,10273,0,41304,2,39,89,5.3,18,27.5,1873,29109,11799,25562,22113
2011-12,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT,NULL,NULL,NULL,NULL,NULL,503,515,20,2039,11,177,9,419,7,2039,4,7,8,5.6,11.7,16.4,177,1666,444,1489,1070
2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,30362,30609,66,120887,370,6107,931,18390,3542,120887,0,2,39,5.8,12.6,19.2,6107,90003,23394,83896,64884
2011-12,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,8126,8438,201,29138,82,1134,143,6788,24,29138,1,4,52,5.5,14.58,21.1,1134,17658,7574,16931,14990
2011-12,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,11684,11896,390,38417,157,846,330,5636,0,38417,1,1,37,5.483333333,14.535,22.324,846,25388,8043,25415,24554
2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,26545,27814,1009,100699,847,2253,815,13057,0,100699,1,4,8,4.82,14.07,27.65,2253,70425,13456,68842,63305
2011-12,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,19686,20072,894,61283,487,1779,754,9345,812,61283,1,4,69,5.15,12.15,17.74,1779,46776,10731,44935,39235
2011-12,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,16052,17566,736,60573,124,4008,913,13395,56,60573,2,20,63,6.033333333,20.93333333,36.48333333,4008,46844,17137,42759,29364
2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,25939,26498,702,70953,439,3378,827,18180,0,70953,1,17,54,5.63,14.46,21.85,3378,58481,18565,55103,43667
2011-12,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,17246,18167,1457,72663,167,1853,967,20754,0,72663,1,28,81,4.58,16.1,24.23,1853,53749,24055,51896,36447
2011-12,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,18211,18542,414,46002,280,2174,722,14652,0,46002,3,21,56,5.52,15.88,23.5,2174,45758,17047,43584,32671
2011-12,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,8272,8623,211,33555,248,1694,815,11139,1151,33555,3,15,78,6.07,17.35,26.77,1694,30813,11186,29119,18376
2011-12,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,11043,11599,2379,40991,233,1742,571,10092,0,40991,2,48,114,5.2,18.5,28.2,1742,28139,11629,24774,21284
2012-13,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,R1F,ISLE OF WIGHT NHS TRUST,NULL,NULL,NULL,NULL,NULL,592,612,39,1932,1,138,7,574,11,1932,1,5,14,6.1,16.7,22.23,138,1725,764,1587,1013
2012-13,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,32597,33100,161,128890,161,5045,1014,19475,3654,128890,0,21,76,5.6,13.9,22.2,5045,90407,26846,85362,65427
2012-13,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,8607,8910,246,29409,146,1366,278,6892,0,29409,1,7,57,5.5,13.9,20.3,1366,17531,7788,16165,13502
2012-13,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,12265,12487,206,37513,110,736,302,5947,0,37513,1,1,11,5.55,14.4,21.46666667,736,25970,8475,26066,24785
2012-13,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,29125,30670,1800,99939,801,2372,847,13196,0,99939,1,5,16,5.58,15.3,29.18,2372,70886,13866,68991,63077
2012-13,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,21066,21459,772,63410,674,2367,812,9350,948,63410,1,13,83,4.94,12.13,18.5,2367,48158,10570,45693,40178
2012-13,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,17072,18308,362,54928,164,3612,942,13915,322,54928,2,25,77,5.883333333,19.4,33.13333333,3612,49246,14603,45613,31698
2012-13,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,26629,27251,494,72544,579,3828,878,18972,0,72544,1,1,39,5.47,14.42,22.13,3828,59917,19278,56089,43266
2012-13,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,17750,18672,356,74670,452,3547,1440,21284,11,74670,1,5,49,4.75,16.9,26.72,3547,55500,26276,57586,35828
2012-13,APRIL,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,22467,22896,279,46745,241,2391,790,15035,0,46745,3,18,53,5.33,15.9,23.78,2391,44313,17001,41922,33340
2012-13,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,8117,8515,829,35188,356,1826,897,12163,1125,35188,3,59,134,5.97,17.9,30.67,1826,31531,12185,29705,17946
2012-13,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,11460,11950,613,40248,231,1651,699,10859,0,40248,2,18,68,5.3,18.2,28.6,1651,28737,11943,25254,21010
2012-13,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,R1F,ISLE OF WIGHT NHS TRUST,8,14,16.4,486,624,616,638,31,2183,5,148,8,601,11,2183,1,4,14,6.21,18.5,24.37,148,1974,816,1826,1226
2012-13,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,1051,1279,15.7,27004,32991,33648,33996,75,124379,112,5113,1204,22943,3169,124379,0,1,38,5.4,12.6,19.6,5113,97075,30704,91962,68530
2012-13,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,406,543,14.3,6323,8074,8252,8585,138,29268,164,1313,284,7267,0,29268,1,5,30,5.5,14.5,21.6,1313,18287,8269,16973,13906
2012-13,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,158,219,12.68,9539,12430,12334,12636,1451,41710,166,1085,265,5988,0,41710,1,37,97,5.93,16.5,25.7,1085,26971,8209,26763,25196
2012-13,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,2069,2749,14.32,22052,27943,29385,30583,2404,105513,805,2361,925,14579,0,105513,1,6,29,5.2,15.17,31.18,2361,71325,16343,69547,64507
2012-13,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,1106,1512,13.18,14994,19594,20339,21035,1361,66293,547,2271,901,10963,1527,66293,1,32,103,5.32,14.03,21.24,2271,50468,12280,48016,40193
2012-13,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,1252,1774,16.55,13127,16875,17246,18616,196,54960,111,3620,789,14404,56,54960,2,20,69,6.166666667,20.6,35.41666667,3620,49230,14899,45521,31117
2012-13,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,438,579,12.9,20088,26518,26244,27097,1637,77073,556,3980,989,20484,0,77073,1,21,71,6.03,16.72,25.92,3980,62377,20854,58397,43734
2012-13,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,787,1040,14.15,13972,18126,18042,19033,474,77399,514,3883,1804,21869,14,77399,1,8,54,4.55,17.42,27.3,3883,57264,27210,59375,37005
